index,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,comment_box,verify_relationship,verify_relationship:confidence,orig__golden,chemical_id,chemical_name,disease_id,disease_name,form_sentence,original_job_id,pmid,relation_pair_id,sentence_id,uniq_id,verify_relationship_gold,verify_relationship_gold_reason
10,770955382,TRUE,golden,10,,"








",no_relation,1,TRUE,D000241,adenosine,D059787|D059350,acute and chronic pain,"BACKGROUND: Preclinical studies of intrathecal adenosine suggest it may be effective in the treatment of acute and chronic pain in humans, and preliminary studies in volunteers and patients with a Swedish formulation of adenosine suggests it may be effective in hypersensitivity states but not with acute noxious stimulation.",762850,11752998,11752998_D000241_D059787|D059350,11752998_1,bcv_easy_3089_sent_dev_set_762850,no_relation,Adenosine might be able to treat acute and chronic pain.
11,770955383,TRUE,golden,9,,"







",yes_direct,0.8953,TRUE,D010830,eserine,D015878,mydriasis,"On the other hand, mydriasis, tremor and clonic-tonic convulsions evoked by carbachol and eserine were not significantly changed by calcium chloride.",762850,6892185,6892185_D010830_D015878,6892185_3,bcv_easy_1548_sent_dev_set_762850,yes_direct,Eserine and carbachol cause mydriasis.
12,770955384,TRUE,golden,12,,"










",no_relation,1,TRUE,C084178,telmisartan,D006973,hypertension,"Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of telmisartan and amlodipine versus amlodipine monotherapy in Indian adults with stage II hypertension.",762850,18201582,18201582_C084178_D006973,18201582_0,bcv_easy_2744_sent_dev_set_762850,no_relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
13,770955385,TRUE,golden,10,,"








",yes_direct,0.6858,TRUE,D004329,droperidol,D004342,drug allergies,We report the case of a previously healthy 19-year-old man with no known drug allergies in whom angioedema with significant tongue swelling and protrusion developed within 10 minutes of the administration of a single IV dose of droperidol.,762850,8599504,8599504_D004329_D004342,8599504_2,bcv_easy_1324_sent_dev_set_762850,no_relation,"Droperidol causes angioedema and tongue swelling, but the patient had no prior drug allergies."
14,770955386,TRUE,golden,11,,"









",yes_direct,0.63,TRUE,D006493,heparin,D006470,hemorrhage,"Clinical manifestations of this disorder include hemorrhage or, more frequently, thromboembolic events in patients receiving heparin.",762850,6615052,6615052_D006493_D006470,6615052_2,bcv_easy_3021_sent_dev_set_762850,yes_direct,"The sentence does not follow the ""[chemical]-induced [other disease] causes [highlighted disease]"" structure, so  heparin-induced [other disease] causes hemorrhage is wrong. Patients developed hemorrhage after receiving heparin, so the correct choice is ""heparin directly contributes to or causes hemorrhage."""
15,770955387,TRUE,golden,14,,"












",yes_direct,1,TRUE,D014700,Verapamil,D001281,AF,"RESULTS: Verapamil caused AF promotion in six dogs, increasing mean duration of AF induced by burst pacing, from 8+/-4 s (mean+/-S.E.) to 95+/-39 s (P<0.01 vs. control) at a loading dose of 0.1 mg/kg and 228+/-101 s (P<0.0005 vs. control) at a dose of 0.2 mg/kg.",762850,11282081,11282081_D014700_D001281,11282081_6,bcv_easy_1715_sent_dev_set_762850,yes_direct,
16,770955388,TRUE,golden,20,,"


















",yes_direct,1,TRUE,D004298,dopamine,D002389,catatonia,"In the pinealectomized chick, pretreatment with dopamine increased the duration of catatonia (DOC) after ketamine, but pretreatment with norepinephrine did not.",762850,6540303,6540303_D004298_D002389,6540303_2,bcv_easy_967_sent_dev_set_762850,yes_direct,"Dopamine made the duration of catatonia longer, which means dopamine made catatonia worse."
17,770955389,TRUE,golden,11,,"









",yes_direct,0.7389,TRUE,D000082,acetaminophen,D064420,toxicity,"To further our understanding of the mechanism of CS cytoprotection, we examined in rats and mice the protective abilities of CS and the non-hydrolyzable ether form of CS, gamma-cholesteryloxybutyric acid, tris salt (CSE) against acetaminophen-, adriamycin-, carbon tetrachloride-, chloroform- and galactosamine-induced toxicity.",762850,9067481,9067481_D000082_D064420,9067481_2,bcv_easy_2720_sent_dev_set_762850,yes_direct,"Five chemicals, including acetaminophen, induced (caused) toxicity."
18,770955390,TRUE,golden,8,,"






",yes_direct,1,TRUE,D016861,cyclooxygenase inhibitors,D020521,stroke,"Randomised clinical trials and observational studies have shown an increased risk of myocardial infarction, stroke, hypertension and heart failure during treatment with cyclooxygenase inhibitors.",762850,16586083,16586083_D016861_D020521,16586083_1,bcv_easy_291_sent_dev_set_762850,yes_direct,Cyclooxygenase inhibitors cause four diseases including stroke.
19,770955391,TRUE,golden,14,,"












",no_relation,0.9297,TRUE,D000109,acetylcholine,D023921,coronary artery stenosis,"Coronary spasm was induced by intracoronary injection of acetylcholine, and no fixed coronary artery stenosis was documented on angiograms in all patients.",762850,11078231,11078231_D000109_D023921,11078231_6,bcv_easy_1807_sent_dev_set_762850,no_relation,No fixed coronary artery stenosis was observed in patients who were injected with acetylcholine.
20,770955392,TRUE,golden,10,,"








",yes_direct,0.6957,TRUE,D014147,tramadol,D006212,hallucinations,Fifty-six days after initiation of the treatment the patient presented hallucinations that only stopped after the withdrawal of psycho-active drugs and tramadol.,762850,8766220,8766220_D014147_D006212,8766220_3,bcv_easy_1658_sent_dev_set_762850,yes_direct,The hallucinations only went away after psycho-active drugs and tramadol were taken away.
21,770955393,TRUE,golden,14,,"












",yes_direct,1,TRUE,D000638,Amiodarone,D011014,pneumonitis,"Amiodarone is an effective antiarrhythmic agent whose utility is limited by many side-effects, the most problematic being pneumonitis.",762850,1595783,1595783_D000638_D011014,1595783_1,bcv_easy_3183_sent_dev_set_762850,yes_direct,Pneumonitis is a side effect of amiodarone.
22,770955394,TRUE,golden,14,,"












",no_relation,1,TRUE,D017374,paroxetine,D059350,chronic pain,This drug was initiated in association with paroxetine and dosulepine hydrochloride in a tetraparetic patient with chronic pain.,762850,8766220,8766220_D017374_D059350,8766220_2,bcv_easy_1657_sent_dev_set_762850,no_relation,"A patient with chronic pain was given paroxetine, but the sentence does not say paroxetine caused the pain."
23,770955395,TRUE,golden,5,,"



",yes_direct,1,TRUE,D002945,cisplatin,D058186,acute renal injury,The nephroprotective effect of coenzyme Q10 was investigated in mice with acute renal injury induced by a single i.p. injection of cisplatin (5 mg/kg).,762850,20510337,20510337_D002945_D058186,20510337_1,bcv_easy_1046_sent_dev_set_762850,yes_direct,Acute renal injury was induced by cisplatin injection.
24,770955396,TRUE,golden,14,,"












",yes_direct,1,TRUE,D010878,piperacillin,D006311,Ototoxicity,Ototoxicity occurred in four (9.5%) of 42 netilmicin and piperacillin and in 12 (22%) of 54 tobramycin and piperacillin-treated patients.,762850,3535719,3535719_D010878_D006311,3535719_4,bcv_easy_773_sent_dev_set_762850,yes_direct,Some of the patients receiving piperacillin developed ototoxicity.
25,770955397,TRUE,golden,12,,"










",no_relation,0.8426,TRUE,D010665,PPA,D006973,hypertensive,These results suggest that PPA/caffeine can lead to cerebral hemorrhage in previously hypertensive animals when administered in greater than the allowed dosage.,762850,6695415,6695415_D010665_D006973,6695415_6,bcv_easy_1498_sent_dev_set_762850,no_relation,"The ""previously"" implies that the animals already had hypertension before they were given PPA."
26,770955398,TRUE,golden,13,,"











",no_relation,0.5225,TRUE,D000666,amphotericin B,D007008,hypokalemia,Spironolactone: is it a novel drug for the prevention of amphotericin B-related hypokalemia in cancer patients?,762850,11868798,11868798_D000666_D007008,11868798_0,bcv_easy_1118_sent_dev_set_762850,yes_direct,
27,770955399,TRUE,golden,10,,"
'was assessed' could mean that they reached the conclution either way.







",no_relation,0.7009,TRUE,C034753,benzylacyclouridine/BAU,D007970,leukopenia,"Because of the clinical toxicities associated with chronic Urd administration, the ability of benzylacyclouridine (BAU) to effect, in vivo, AZT-induced anemia and leukopenia was assessed.",762850,2257294,2257294_C034753_D007970,2257294_2,bcv_easy_2854_sent_dev_set_762850,no_relation,"Leukopenia was caused by ""AZT""."
28,770955400,TRUE,golden,9,,"







",yes_direct,0.7841,TRUE,D002083,BHA,D010212,squamous cell papilloma,"In groups given 2% BHA, although marked hyperplastic changes of the forestomach epithelium were observed in all animals, co-administration of 0.25% RA significantly (P less than 0.05) increased the incidence of forestomach tumors (squamous cell papilloma and carcinoma) to 60% (9/15, 2 rats with carcinoma) from 15% (3/20, one rat with carcinoma) in the group given RA-free water.",762850,3131282,3131282_D002083_D010212,3131282_3,bcv_easy_24_sent_dev_set_762850,yes_direct,"Giving BHA together with RA caused squamous cell papillomas. Remember if a chemical only works in combination with other chemicals, then the correct choice is that the chemical can cause the disease."
29,770955401,TRUE,golden,11,,"









",no_relation,0.911,TRUE,D013835,TPP,D014899,Wernicke's encephalopathy,We found that the above-mentioned patient and one of the diabetic kindreds with no history of Wernicke's encephalopathy had abnormal transketolase as determined by its Km for TPP.,762850,3762968,3762968_D013835_D014899,3762968_3,bcv_easy_1369_sent_dev_set_762850,no_relation,
30,770955402,TRUE,golden,10,,"








",no_relation,0.5825,TRUE,D004110,diltiazem,D062787,overdose,It should be considered early in cases of cardiac arrest after diltiazem overdose.,762850,12101159,12101159_D004110_D062787,12101159_8,bcv_easy_834_sent_dev_set_762850,yes_direct,You can overdose on the drug diltiazem.
31,770955403,TRUE,golden,14,,"












",yes_direct,1,TRUE,D012110,Reserpine,D014202,tremor,"Reserpine also produced tremor and catalepsy, which are signs suggestive of Parkinson's disease.",762850,11999899,11999899_D012110_D014202,11999899_4,bcv_easy_2175_sent_dev_set_762850,yes_direct,
32,770955404,TRUE,golden,9,,"







",no_relation,0.785,TRUE,C018370,PREGS,D000647,amnesia,The memory-enhancing effects of PREGS and its analogs were tested in the passive avoidance task using the model of scopolamine-induced amnesia.,762850,11860495,11860495_C018370_D000647,11860495_7,bcv_easy_3086_sent_dev_set_762850,no_relation,The amnesia was caused by scopolamine.
33,770955405,TRUE,golden,14,,"












",no_relation,1,TRUE,D001590,benztropine,D010302,parkinsonism,In a 12-week controlled study ethopropazine was compared to benztropine in the treatment of parkinsonism induced by fluphenazine enanthate in 60 schizophrenic outpatients.,762850,33969,33969_D001590_D010302,33969_1,bcv_easy_2138_sent_dev_set_762850,no_relation,Benztropine is being studied as a treatment for parkinsonism.
34,770955406,TRUE,golden,9,,"







",no_relation,0.8881,TRUE,D015119,epsilon-aminocaproic acid,D012851,cerebral sinus thrombosis,"Although increased risk of thromboembolic disease has been reported during treatment with epsilon-aminocaproic acid, cerebral sinus thrombosis has not been previously described.",762850,2339463,2339463_D015119_D012851,2339463_3,bcv_easy_43_sent_dev_set_762850,no_relation,"The sentence says no known cases of epsilon-aminocaproic acid causing cerebral sinus thrombosis existed before. Although we might want to say that this sentence is reporting the first case, the relation between epsilon-aminocaproic acid and cerebral sinus thrombosis is not explicit here."
35,770955407,TRUE,golden,12,,"










",no_relation,1,TRUE,D010878,piperacillin sodium,D007239,infections,We prospectively compared the efficacy and safety of netilmicin sulfate or tobramycin sulfate in conjunction with piperacillin sodium in 118 immunocompromised patients with presumed severe infections.,762850,3535719,3535719_D010878_D007239,3535719_1,bcv_easy_768_sent_dev_set_762850,no_relation,The text seems to say that piperacillin sodium was being tested as a treatment.
36,770955408,TRUE,golden,13,,"











",yes_direct,0.8612,TRUE,D004317,ADR/adriamycin,D002318,cardiovascular toxicity,The use of adriamycin (ADR) in cancer chemotherapy has been limited due to its cumulative cardiovascular toxicity.,762850,9952311,9952311_D004317_D002318,9952311_1,bcv_easy_1186_sent_dev_set_762850,yes_direct,
37,770955409,TRUE,golden,10,,"








",yes_direct,0.6912,TRUE,D013467,sulindac,D007681,renal papillary necrosis/RPN,"A 31-year-old man with rheumatoid arthritis, who had previously been treated with sulindac, fenoprofen calcium, high dose salicylates and gold salts, developed renal papillary necrosis (RPN) 4 months after institution of naproxen therapy.",762850,6699841,6699841_D013467_D007681,6699841_1,bcv_easy_840_sent_dev_set_762850,no_relation,"The patient developed renal papillary necrosis only after starting naproxen therapy. The sentence says the man was ""previously treated with sulindac"", which implies that sulindac was not taken at the same time as naproxen."
38,770955410,TRUE,golden,4,,"


",yes_direct,0.7687,TRUE,D010862,pilocarpine,D012640,seizures,"Steroids with the 3-hydroxy group in the alpha-position and 5-H in the alpha- or beta-configurations were highly effective in protecting against pilocarpine (416 mg/kg, s.c.)-induced limbic motor seizures and status epilepticus (ED50 values, 7.0-18.7 mg/kg, i.p.).",762850,9121607,9121607_D010862_D012640,9121607_2,bcv_easy_2104_sent_dev_set_762850,yes_direct,
39,770955411,TRUE,golden,16,,"














",no_relation,0.9386,TRUE,D000082,paracetamol,D006525,viral hepatitis,"Acid protease (cathepsin D) activity was increased about tenfold in patients who died and nearly fourfold in those who survived fulminant hepatic failure after paracetamol overdose, whereas activities were increased equally in patients with fulminant hepatic failure due to viral hepatitis whether or not they survived.",762850,7007443,7007443_D000082_D006525,7007443_2,bcv_easy_1359_sent_dev_set_762850,no_relation,Paracetamol overdose causes fulminant hepatic (liver) failure. The text does not say what caused the viral hepatitis.
40,770955412,TRUE,golden,9,,"







",no_relation,0.5319,TRUE,D016202,NMDA/N-methyl-D-aspartate,D012559,schizophrenia,The glutamatergic N-methyl-D-aspartate (NMDA) receptor has been implicated in the pathophysiology of schizophrenia.,762850,20727411,20727411_D016202_D012559,20727411_1,bcv_easy_2627_sent_dev_set_762850,no_relation,"The NMDA receptor is involved in schizophrenia, not the chemical NMDA."
41,770955413,TRUE,golden,14,,"












",no_relation,0.935,TRUE,D010396,D-penicillamine,D008105,primary biliary cirrhosis,A case of polymyositis in a patient with primary biliary cirrhosis treated with D-penicillamine.,762850,8268147,8268147_D010396_D008105,8268147_0,bcv_easy_2535_sent_dev_set_762850,no_relation,D-penicillamine seems to have been used to treat primary biliary cirrhosis.
42,770955414,TRUE,golden,23,,"





















",yes_direct,0.8279,TRUE,D011692,puromycin aminonucleoside/PAN,D058186,Acute experimental models of renal damage,"Acute experimental models of renal damage to the proximal tubular, glomerular, and papillary regions of the rat were produced by administration of hexachloro-1:3-butadiene (HCBD), puromycin aminonucleoside (PAN), and 2-bromoethylamine (BEA), respectively.",762850,3653576,3653576_D011692_D058186,3653576_1,bcv_easy_1663_sent_dev_set_762850,yes_direct,Three chemicals all produced acute experimental models of renal damage.
43,770955415,TRUE,golden,18,,"
















",yes_direct,0.9467,TRUE,D013619,Tacrine,D012640,seizures,"Tacrine, administered in LiCl pre-treated rats, induces electrocorticographic seizures and delayed hippocampal damage.",762850,19944736,19944736_D013619_D012640,19944736_3,bcv_easy_1618_sent_dev_set_762850,yes_direct,
44,770955416,TRUE,golden,4,,"


",no_relation,0.768,TRUE,D020123,sirolimus,D011565,psoriasis,"Activated peripheral blood T cells from patients with psoriasis tended to exhibit greater spontaneous or dexamethasone-induced apoptosis than did normal T cells, particularly in the presence of sirolimus.",762850,10328196,10328196_D020123_D011565,10328196_4,bcv_easy_3112_sent_dev_set_762850,no_relation,"Sirolimus made T cells undergo apoptosis (cell death) faster, but sirolimus is not stated to have caused psoriasis."
45,770955417,TRUE,golden,12,,"










",no_relation,1,TRUE,C107135,everolimus,D009190,MDS/myelodysplastic syndrome,"We report on a combination of everolimus and tacrolimus in 24 patients (median age, 62 years) with either myelodysplastic syndrome (MDS; n = 17) or acute myeloid leukemia (AML; n = 7) undergoing intensive conditioning followed by HSCT from related (n = 4) or unrelated (n = 20) donors.",762850,19135948,19135948_C107135_D009190,19135948_3,bcv_easy_161_sent_dev_set_762850,no_relation,"Everolimus was used in patients with myelodysplastic syndrome, but the text does not say everolimus caused MDS."
46,770955418,TRUE,golden,3,,"

",yes_direct,1,TRUE,D013390,succinylcholine,D063806,myalgia,"In conclusion, there is no evidence for an inflammatory origin of succinylcholine-associated myalgia.",762850,12760988,12760988_D013390_D063806,12760988_9,bcv_easy_3068_sent_dev_set_762850,yes_direct,"The sentence says that there is no evidence for an ""inflammatory origin"" of myalgia caused by succinylcholine. This does not mean that succinylcholine cannot cause myalgia."
47,770955419,TRUE,golden,7,,"





",no_relation,0.7214,TRUE,D000809,angiotensin,D009404,NS/nephrotic syndrome,Plasma concentration and urine excretion of the renin-angiotensin system proteins are altered in rats with nephrotic syndrome (NS).,762850,9154656,9154656_D000809_D009404,9154656_1,bcv_easy_2019_sent_dev_set_762850,no_relation,The renin-angiotensin system protein levels were different in rats with nephrotic syndrome.
48,770955420,TRUE,golden,8,,"






",no_relation,1,TRUE,C024224,naloxazone,D007035,hypothermia,"Pretreatment with naloxazone significantly blocked morphine analgesia, catalepsy and hypothermia at a dose which completely eliminated high-affinity binding in brain membranes.",762850,6308526,6308526_C024224_D007035,6308526_2,bcv_easy_2753_sent_dev_set_762850,no_relation,Naloxazone made hypothermia better.
49,770955421,TRUE,golden,9,,"







",no_relation,0.7725,TRUE,C005618,benzoylecgonine,D003693,EDDs,EDDs had concentrations of cocaine and benzoylecgonine in autopsy blood that were similar to those for controls.,762850,8988571,8988571_C005618_D003693,8988571_5,bcv_easy_3013_sent_dev_set_762850,no_relation,
50,770955422,TRUE,golden,7,,"





",no_relation,1,TRUE,D008625,Tiopronin,D001172,RA,Compared to healthy controls a lower DR5 frequency was observed in patients with RA except for the Tiopronin related nephritis group.,762850,3084782,3084782_D008625_D001172,3084782_3,bcv_easy_3042_sent_dev_set_762850,no_relation,
51,770955423,TRUE,golden,15,,"













",no_relation,0.804,TRUE,D008094,lithium,D014262,tricuspid regurgitation,"A newborn with massive tricuspid regurgitation, atrial flutter, congestive heart failure, and a high serum lithium level is described.",762850,6794356,6794356_D008094_D014262,6794356_1,bcv_easy_2_sent_dev_set_762850,no_relation,"Although the newborn had both tricuspid regurgitation and high blood lithium levels, the sentence does not say that the lithium is what caused the tricuspid regurgitation."
52,770955424,TRUE,golden,12,,"










",yes_direct,1,TRUE,C020976,azelastine,D013651,altered taste perception,Drowsiness and altered taste perception were increased significantly over placebo only in the high-dose azelastine group.,762850,3057041,3057041_C020976_D013651,3057041_13,bcv_easy_974_sent_dev_set_762850,yes_direct,Azelastine caused drowsiness and altered taste perception whereas the placebo (no chemical given) did not.
53,770955425,TRUE,golden,10,,"








",yes_direct,0.8018,TRUE,D011433,propranolol,D011928,Raynaud's phenomenon,"Other adverse reactions significantly linked with active drugs include impaired glucose tolerance in men and women and gout in men, associated with bendrofluazide treatment, and Raynaud's phenomenon and dyspnoea in men and women taking propranolol.",762850,6115999,6115999_D011433_D011928,6115999_5,bcv_easy_864_sent_dev_set_762850,yes_direct,Raynaud's phenomenon is given as an example of an adverse reaction linked with drugs (in this case propranolol).
54,770955426,TRUE,golden,14,,"












",yes_direct,0.722,TRUE,D004837,adrenaline,D001919,bradycardia,"Intravenous pretreatment of the rats with diazepam, although causing no change in the adrenaline-induced pressor effect, did enhance the adrenaline-induced reflex bradycardia.",762850,2894433,2894433_D004837_D001919,2894433_4,bcv_easy_2376_sent_dev_set_762850,yes_direct,
55,770955427,TRUE,golden,11,,"









",no_relation,0.5457,TRUE,D000431,alcohol,D000437,alcohol abuse,The patient had a history of alcohol abuse; alcohol intake as well as withdrawal can also cause seizures.,762850,11573852,11573852_D000431_D000437,11573852_6,bcv_easy_102_sent_dev_set_762850,no_relation,Alcohol is mentioned as something that might cause seizures. The sentence does not say that alcohol causes alcohol abuse!
56,770955428,TRUE,golden,16,,"














",yes_direct,0.9383,TRUE,C047426,venlafaxine,D020230,Serotonin syndrome,Serotonin syndrome from venlafaxine-tranylcypromine interaction.,762850,8888541,8888541_C047426_D020230,8888541_0,bcv_easy_2054_sent_dev_set_762850,yes_direct,
57,770955429,TRUE,golden,16,,"














",no_relation,1,TRUE,D013438,thiol,D008175,lung cancer,The protective effect of oral administration of the thiol compound sodium 2-mercaptoethane sulphonate (MESNA) against urothelial toxicity induced by ifosfamide (IF) was tested in a group of 45 patients with inoperable lung cancer under treatment with IF (2250 mg/m2 on days 2-5) as part of a polychemotherapy regimen repeated in a 4-week cycle.,762850,6402369,6402369_D013438_D008175,6402369_1,bcv_easy_3143_sent_dev_set_762850,no_relation,"The subject of the sentence is sodium 2-mercaptoethane sulphonate, not thiol."
58,770955430,TRUE,golden,14,,"












",no_relation,0.6576,TRUE,D006493,heparin,D013923,thromboembolism,"MEASUREMENTS: Platelet counts, onset of objectively determined thromboembolism, results of heparin-induced platelet factor 4 antibody tests, and outcomes.",762850,11827497,11827497_D006493_D013923,11827497_7,bcv_easy_2916_sent_dev_set_762850,no_relation,The sentence lists some things that were measured.
59,770955431,TRUE,golden,10,,"








",no_relation,0.8034,TRUE,D007980,L-dihydroxyphenylalanine,D020258,neurotoxicity,Here we show that the recently reported ability of L-dihydroxyphenylalanine to reverse the protective effect of alpha-methyl-para-tyrosine on METH-induced DA neurotoxicity is also confounded by drug effects on body temperature.,762850,20533999,20533999_D007980_D020258,20533999_3,bcv_easy_2637_sent_dev_set_762850,no_relation,"Neurotoxicity was induced by ""METH""."
60,770955432,TRUE,golden,13,,"











",yes_direct,1,TRUE,D017963,azithromycin,D006606,hiccups,Possible azithromycin-associated hiccups.,762850,15985056,15985056_D017963_D006606,15985056_0,bcv_easy_545_sent_dev_set_762850,yes_direct,"The sentence suggests that azithromycin likely causes hiccups through the use of ""possible""."
61,770955433,TRUE,golden,12,,"










",no_relation,0.8347,TRUE,D015632,MPTP,D010300,Parkinson's disease,"Compound 1 is a potent A(2A)/A(1) receptor antagonist in vitro (A(2A) K(i) = 4.1 nM; A(1) K(i) = 17.0 nM) that has excellent activity, after oral administration, across a number of animal models of Parkinson's disease including mouse and rat models of haloperidol-induced catalepsy, mouse model of reserpine-induced akinesia, rat 6-hydroxydopamine (6-OHDA) lesion model of drug-induced rotation, and MPTP-treated non-human primate model.",762850,20973483,20973483_D015632_D010300,20973483_3,bcv_easy_265_sent_dev_set_762850,no_relation,
62,770955434,TRUE,golden,17,,"















",no_relation,0.7156,TRUE,D016642,bupropion,D012892,sleep deprivation,This case report describes a generalized seizure associated with sustained-release bupropion use and sleep deprivation.,762850,12745515,12745515_D016642_D012892,12745515_1,bcv_easy_2004_sent_dev_set_762850,no_relation,"The sentence says bupropion causes seizure and sleep deprivation causes seizure, but does not say bupropion causes sleep deprivation."
63,770955435,TRUE,golden,7,,"





",yes_direct,0.8519,TRUE,D011034,epipodophyllotoxin,D066126,cardiac toxicity,"PURPOSE: The anthracyclines daunorubicin and doxorubicin and the epipodophyllotoxin etoposide are potent DNA cleavage-enhancing drugs that are widely used in clinical oncology; however, myelosuppression and cardiac toxicity limit their use.",762850,15897593,15897593_D011034_D066126,15897593_1,bcv_easy_2770_sent_dev_set_762850,no_relation,"The chemical ""etoposide"" is a kind of ""epipodophyllotoxin"". The sentence says that etoposide causes cardiac toxicity, but the sentence does not say all epipodophyllotoxins cause cardiac toxicity!"
64,770955436,TRUE,golden,9,,"







",yes_direct,1,TRUE,D002110,caffeine,D001145,ventricular arrhythmias,"Although intravenous caffeine is generally well tolerated, the clinician should be aware of the potential for unpredictable and serious ventricular arrhythmias.",762850,18997632,18997632_D002110_D001145,18997632_4,bcv_easy_368_sent_dev_set_762850,yes_direct,Serious ventricular arrhythmias can result from taking caffeine.
